,molecule_chembl_id,smiles,ic50,tox_free,bbb,qed,sa,lip,carc
78,CHEMBL4160348,CCN(CC)C(=O)/C=C/Cc1c(O)c(OC)cc2oc3cc(OC)cc(O)c3c(=O)c12,4890.0,False,True,0.43955310279716536,2.941748952471176,0,True
79,CHEMBL4175871,COc1ccc(CCNCc2cccc3ccccc23)cc1,240000.0,False,False,0.6878844968306871,1.6231422920979988,0,True
80,CHEMBL4172111,COc1ccc(CCNCCNc2cccc3ccccc23)cc1OC,112000.0,False,False,0.5702886479183353,1.8949845501924045,0,False
81,CHEMBL1927724,COc1ccc(Cn2c(=O)[nH]c3ccccc3c2=O)cc1,250000.0,True,False,0.795627900663425,1.729322081970631,0,True
82,CHEMBL4162736,COc1ccc(Cn2c(=O)c3ccccc3n(Cc3ccc(OC)cc3)c2=O)cc1,250000.0,True,True,0.4966220827417073,1.8875312778186917,0,True
83,CHEMBL4161258,COc1ccc(CCN(C)CCCN(c2ccccc2)c2ccccc2)cc1OC,56000.0,True,True,0.42677621181403436,2.130416207804503,1,False
84,CHEMBL4170672,COc1ccc(CCN(C)CCCN2Cc3ccccc3CCc3ccccc32)cc1,17000.0,True,True,0.49312116654630866,2.1946374314130477,1,False
85,CHEMBL4171867,COc1ccc(CCN(C)CCCN(c2ccccc2)c2ccccc2)cc1,250000.0,True,False,0.4725897931424769,2.032576587814633,1,False
86,CHEMBL4174553,COc1ccc(CCN(Cc2ccccc2)c2ccccn2)cc1,250000.0,True,False,0.6477983528116934,1.8545996512272875,0,True
87,CHEMBL4177052,COc1ccc(CCNCCCNC2c3ccccc3CCc3ccccc32)cc1,17000.0,False,True,0.5111543861447149,2.235188120897222,0,True
88,CHEMBL4164255,COc1ccc(CC(=O)N(C)CCCN2c3ccccc3CCc3ccccc32)cc1,107000.0,True,True,0.5440081239335566,2.144265242063936,1,False
89,CHEMBL4167088,CCCCCCCCCCCC(N)(OP(=O)(O)O)OP(=O)(O)O,290.0,False,False,0.1741219828948134,3.08914784359174,0,True
90,CHEMBL3421823,COc1cc2oc3cc(OC)c(CC=C(C)C)c(O)c3c(=O)c2c(CC=C(C)C)c1O,169600.0,False,True,0.4072337989007715,3.0688399673386613,1,True
91,CHEMBL4162562,O=c1cc(-c2ccc3c(c2)OCCCO3)oc2c1ccc1ccccc12,24250.0,False,False,0.4665683970274947,2.2664528660870378,0,True
92,CHEMBL1986027,CC1=C(C(=O)Nc2ccccc2)C(c2ccc(Cl)cc2)n2c(s/c(=C/c3cccc(OCC(=O)O)c3)c2=O)=N1,25118.9,True,False,0.3556954539549517,2.9335233749912497,1,False
93,CHEMBL4159912,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)cc1I,39810.7,False,False,0.1676472462674973,2.80165012270054,2,True
94,CHEMBL4170563,CCCCCCCC1Cc2cc(O)c(C(=O)O)c(O)c2C(C)O1,68700.0,False,False,0.6561630331880657,3.452980191596663,0,True
