molecule_chembl_id,canonical_smiles,standard_value
CHEMBL5270885,CC(C)(C)COc1ccncc1NC(=O)c1ccnc(NC(=O)C2CC2)c1,36.0
CHEMBL259389,Nc1n[nH]c2nc3ccccc3nc12,1000.0
CHEMBL5271618,O=C(Nc1cnccc1OCC1CC1)c1ccnc(NC(=O)C2CC2)c1,65.0
CHEMBL261720,Nc1nc(Nc2ccc(S(N)(=O)=O)cc2)nn1C(=S)Nc1c(F)cccc1F,140.0
CHEMBL5273478,O=C(Nc1cnccc1OCCO)c1ccnc(NC(=O)C2CC2)c1,270.0
CHEMBL126077,O=Nc1c(-c2c(O)[nH]c3ccccc23)[nH]c2ccccc12,22.0
CHEMBL5265990,O=C(Nc1cnccc1-c1ccccc1C(F)(F)F)c1ccnc(NC(=O)C2CC2)c1,28.0
CHEMBL5288364,O=C(Nc1cnccc1-c1ccccc1F)c1ccnc(NC(=O)C2CC2)c1,290.0
CHEMBL260138,N#CCCc1ccc2c(c1)-c1[nH]c3ccc([N+](=O)[O-])cc3c1CC(=O)N2,0.8
CHEMBL3734776,COc1ccc2[nH]nc(C(=O)NCC3CCN(CCCN4C[C@@H](C)O[C@@H](C)C4)CC3)c2c1,2100.0
CHEMBL5280305,O=C(Nc1cnccc1-c1cccc(F)c1)c1ccnc(NC(=O)C2CC2)c1,480.0
CHEMBL5288565,O=C(Nc1cnccc1-c1ccc(F)cc1)c1ccnc(NC(=O)C2CC2)c1,5.2
CHEMBL5269649,COc1ccc(-c2ccncc2NC(=O)c2ccnc(NC(=O)C3CC3)c2)cc1,2.1
CHEMBL5278701,O=C(Nc1cnccc1-c1ccc(OC(F)(F)F)cc1)c1ccnc(NC(=O)C2CC2)c1,270.0
CHEMBL5272425,N#Cc1ccc(-c2ccncc2NC(=O)c2ccnc(NC(=O)C3CC3)c2)cc1,96.0
CHEMBL3735882,COc1ccc2[nH]nc(C(=O)NCC3CCN(CCN4C[C@@H](C)O[C@@H](C)C4)CC3)c2c1,1400.0
CHEMBL5289893,O=C(Nc1cnccc1-c1ccc(OC(F)F)cc1)c1ccnc(NC(=O)C2CC2)c1,180.0
CHEMBL5287898,Cc1ccc(-c2ccncc2NC(=O)c2ccnc(NC(=O)C3CC3)c2)cc1,120.0
CHEMBL5278847,CC(C)(C)c1ccc(-c2ccncc2NC(=O)c2ccnc(NC(=O)C3CC3)c2)cc1,800.0
CHEMBL346551,O=C1NC(=O)C(c2ccccc2)=C1Nc1ccccc1,520.0
CHEMBL489407,Cn1cc(C2=C(c3coc4ccccc34)C(=O)NC2=O)c2cc(F)c(Cl)cc21,184.0
CHEMBL4064706,CCCCCCCCCCCCCCCC(=O)NC1CCN(C(=O)C2Sc3ccccc3N(CC)C2=O)CC1,11700.0
CHEMBL4849247,COC(=O)c1ccc2c(c1)[nH]c1c(NC(=O)C3CC3)nccc12,71.0
CHEMBL3943352,O=C(/C=C/c1cnc2[nH]cc(-c3ccccc3)c2c1)NCCc1c[nH]c2ccccc12,356.0
CHEMBL3358802,CCCCCCCCCCCC(=O)NNC(=O)C1Sc2ccccc2N(CC)C1=O,8000.0
CHEMBL3911190,O=C(CNC(=O)c1cnc2[nH]cc(-c3ccccc3)c2c1)NCCc1c[nH]c2ccccc12,1450.0
CHEMBL103667,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1,37000.0
CHEMBL1834323,C[C@H]1COc2c(NCCNc3ccccn3)c(F)c(N)c3c(=O)c(C(=O)O)cn1c23,44.0
CHEMBL2048674,O=C(Nc1cccnc1)c1ccnc2[nH]c(-c3ccsc3)nc12,13.0
CHEMBL3951486,O=C(CCc1cnc2[nH]cc(-c3ccccc3)c2c1)NCCc1c[nH]c2ccccc12,1030.0
CHEMBL3891139,O=C(/C=C/c1cnc2[nH]cc(-c3ccccc3)c2c1)NCCN1CCOCC1,45.7
CHEMBL2207943,CN1C(=O)CC(c2cccs2)Sc2ccccc21,480000.0
CHEMBL4070897,CCCCCCCCCCCC(=O)N1CCN(C(=O)C2Sc3ccccc3N(CC)C2=O)CC1,23200.0
CHEMBL4076026,CCCCCCCCCCCCCC(=O)N1CCN(C(=O)C2Sc3ccccc3N(CC)C2=O)CC1,18900.0
CHEMBL4092659,CCCCCCCCCCCCCCCC(=O)N1CCN(C(=O)C2Sc3ccccc3N(CC)C2=O)CC1,8700.0
CHEMBL2334796,O=C1CC(c2ccc(F)cc2)Sc2ccccc2N1Cc1ccccc1[N+](=O)[O-],81500.0
CHEMBL2334797,O=C1CC(c2ccc(Cl)cc2)Sc2ccccc2N1Cc1ccccc1[N+](=O)[O-],71300.0
CHEMBL218931,CCCCCCCC(=O)OC[C@H](O)[C@H]1OC(=O)C(O)=C1O,50000.0
CHEMBL218301,CCCCCCCCCC(=O)OC[C@H](O)[C@H]1OC(=O)C(O)=C1O,6100.0
CHEMBL219346,CCCCCCCCCCCCCC(=O)OC[C@H](O)[C@H]1OC(=O)C(O)=C1O,5800.0
CHEMBL483841,CC1=C(O)/C(=C/[C@H](C)CCC/C(C)=C/CCc2coc(Cc3ccoc3)c2)OC1=O,800.0
CHEMBL483842,CC1=C(O)/C(=C/[C@H](C)CC/C=C(/C)CCCc2coc(Cc3ccoc3)c2)OC1=O,2300.0
CHEMBL4091320,COCCn1cc(-c2ccncc2)c2ccncc21,3000.0
CHEMBL3091536,Cn1c(N2CCO[C@@H](c3ccc(F)cc3)C2)nc(-c2ccncn2)cc1=O,12.0
CHEMBL2207942,O=C1CC(c2cccs2)Sc2ccccc2N1,830000.0
CHEMBL2207944,CCN1C(=O)CC(c2cccs2)Sc2ccccc21,100000.0
CHEMBL3961252,O=C(/C=C/c1cnc2[nH]cc(-c3ccccc3)c2c1)NCCc1ccccc1,248.0
CHEMBL2207945,CC(C)N1C(=O)CC(c2cccs2)Sc2ccccc21,100000.0
CHEMBL2207946,O=C1CC(c2cccs2)Sc2ccccc2N1Cc1ccccc1,47500.0
CHEMBL2207938,O=C1CC(c2ccco2)Sc2ccccc2N1Cc1ccccc1,77200.0
CHEMBL2207940,O=C1CC(c2ccccc2)Sc2ccccc2N1Cc1ccccc1[N+](=O)[O-],25000.0
CHEMBL2180878,COc1cc(C2=C(c3c[nH]c4ncccc34)C(=O)NC2=O)cc(OC)c1OC,10000.0
CHEMBL2177142,COc1cc(C2=C(c3c[nH]c4ccncc34)C(=O)NC2=O)cc(OC)c1OC,40.0
CHEMBL2180881,COc1cc(C2=C(c3c[nH]c4cccnc34)C(=O)NC2=O)cc(OC)c1OC,215.0
CHEMBL2180882,COc1cc(C2=C(c3c[nH]c4cnccc34)C(=O)NC2=O)cc(OC)c1OC,9.0
CHEMBL564033,Cn1cc(C2=C(c3nn(CCCN4CCOCC4)c4ncccc34)C(=O)NC2=O)c2ccccc21,750.0
CHEMBL485053,CN1C(=O)/C(=C/c2ccc3c(c2)OCO3)N=C1N,10000.0
